date,username,title,rating,review
2018-03-31,tomasajdari,Mixed,6,"seasons 1 , 3 10+/10. the best series, everseason 4 8/10- serious problems rear their ugly head both due to grrm and dumb and dumberseasons 5 - 7 - serious directing issues (dorne infiltration, arena fight) added to very serious writing problems, 6/10season 8 - 0/10 pure abominationwatch only the first 3 or 4 seasons and stop there. please!"
2021-04-10,cstover-28468,A bad ending can ruin it all,1,"if you've somehow managed to avoid watching game of thrones up until now, then i'm sure you've at least heard about the infamous final season and how it ruined what was once a great show. others might say that the show started to fall off at around season 5. and this is because that's around the time the showrunners ran out of source material to adapt and had to start making up stuff on their own. my personal take: seasons 1,4 are absolutely amazing, some of the best television i've ever seen and i loved those seasons dearly. season 5 is where it started to fall a little flat, however, i still enjoyed seasons 5 and 6 for the most part and think they were at least somewhat in the realm of greatness that the previous seasons had been in. however, season 7 and of course, season 8 are where things really started to fall apart. it went from being a show that didn't have ""plot armor"", meaning any character could die at any moment no matter how popular with fans they were, to pretty much every main character getting in situations where they absolutely should not survive but always manage to get saved at the last moment. it went from having great dialogue to them just making lame genital jokes and dwarf jokes. not to mention that it completely backtracked and ruined pretty much ever character's arc that had been building up to that moment, especially jaime. i'll never forgive them for what they did to jaime's character. and a bad ending can really hurt the rest of the show as well, because now i don't even wanna go back and watch the good seasons because i know how it ends and it ends horribly. so, if you've never watched the show, i honestly recommend you don't even bother. you'll just end up angry and disappointed with the ending and feel like all that time you spent getting invested in these characters was all for nothing."
2019-06-09,dm-62539,Best show on TV period,10,"i've watched this series since it started and fell in love with the starks. i will not do a blow by blow season recount of the entire series.
simply george rr martins knows how to write. not like the moron jj abrams.
never a dull moment in the series and this series is only for mature audiences.
sorry to see it go and i am looking forward to the prequel in a couple of years."
2019-05-16,southeastuk,"""Art"" this aint! Predictable, bad writing, bad story, mostly terrible acting. Very low brow and a new low in Hollywood tat!",3,"i was practically forced , almost at gunpoint it feels - by acquaintances (note: not friends; none of my friends watch game of thrones!) to watch a few episodes of this. i wish i hadn't.the story is predictable, the acting mostly terrible (with notable exception of sean bean and the actors who play ned starks wife - sorry, couldn't be bothered to memorise their names!) and the dialogue is cringe-worthy.the violence is gratuitous, the sex and nudity - again - gratuitous and it is clear the shows writers and director went for shock value in most cases; to say it smacks of desperation would be an understatement.this really has set a new low for hollywood tat and i resent both the time i spent watching the few episodes that i did and the time i have spent listening to quivering geeks give me a blow by blow account of what has happened in the latest instalment.i watch very little television - roughly 20 mins in the last 3 months for example - and so when i do watch something, i'd like it to have just a little quality and be engaging enough without resorting to shock tactics, tacky actors or plunging new moral depths just for the sake of viewing figures. ""art"" this aint."
2019-08-20,dirtphelia,"Slooooow, so sloooow, and boring soap opera",1,"you know a show is going to be bad when the gratuitous nudity is rushed in. so many people seem to like this show, though, that i watched a few episodes (fast forwarded through the many, many stupid and pointless fight scenes) and thought that it probably got better at some point but it does not.it is just bad, bad, bad.this show seems to have been created as a way for dweebs to see naked women without leaving a history of porn in their browsers. just like some men ""read"" playboy for the articles, people must watch this show for the story. it's a very, very slow and boring show with breasts and shaved privates on display between heads being chopped off. yaaaawwwwnnnn."
2019-06-18,mvrk,An excellent show ruined by the last two episodes.,10,"no, i don't think game of thrones should've won the best drama emmy award. the award was for this year and this year alone. it wasn't for all 8 seasons. the last two episodes of the series ruined this whole show which cost around $50 million per year to make. it wasn't the bad writing or directing. it was the way they turned the show like a crazy ivan. they just wanted to give us an ending which we didn't see coming, just to make themselves feel superior and self,congratulating themselves. so no, the twist ending was not good. the traditional ending would've been much much better because the whole series was excellent up to that point. the traditional ending being danny and jon getting the throne. there was nothing wrong with that. so they had done a good job for all the seasons and each season did have its surprises, but the stupid ending surprise should not have happened. it ruined 9 years of excellency. to see dxd healthy and neat was all the more frustrating. i thought they would be too embarrassed to show their face in public for at least a year. it seems that they have surrounded themselves with people who worship them and are in denial. they are congratulating themselves believing they are the best because they are in their own little world. the worst is this show will be nominated again for the golden globes!! not looking forward to that."
2019-12-07,fetus_milkshake,another hollywood fail,9,"worst ending of a series ever perhaps season 8 ruined the rest of the series
it's like after 9 years there was no love by the writers and almost seems purposeful"
2014-05-13,kuashie,This is more like it,10,"this is one of the shows that starts slowly, since it has a very broad story, to later on become a very epic show. there is nudity in the show, there are also a lot of vices but i am okay with it. if you don't like such things just stay away from this show. i would not recommend such a thing because that is not the focal point of this show and its positives far out ways the negatives to you, moreover from what i have gathered from reading the reviews on this site is that such things are original of what is in the books so there you go. i do not normally rate shows that high but this one is worth it and have earned it. the story is unpredictable, the acting is top notch and overwhelming. if you are now about to watch from season one i would ask you to give it time to develop and you would be rewarded later."
2019-05-09,a227356z,Reflection in iron and crystal.,5,"the commercially important difference between game of thrones and the counselor (written by cormac mccarthy and directed by ridley scott, with a great cast delivering outstanding performances), is that game of thrones glorifies the revenge on the torturers, while the counselor sickens us by not pretending we are not them."
2021-05-13,roondogbb,Starts so so well. Then nose dives consciously and outrageously into oblivion.,8,"i have given game of thrones a score of six which is a reflection of how i view the series as a whole, after being considered in two parts. the show was excellent in the beginning 2 to 3 seasons while the directors had abundent source material to draw from. while the show became very poor once it had little or no source material left to draw from. these directors are obviously aren't good story tellers. so bare that in mind, investing in this show will lead to eventual disappointment.the story in the beginning is split into three overall aspects in the beginning, clear and well defined and each has very different feel. first is the dark, omimous and mysterious threat from beyond the great wall of ice that guards the northern lands. it's the first point of the show that is touched upon and it's deep threat and mystry are made clear even if the threat is still far away in the beginning.second we have complex intrigue of westeros and the various warring factions going after the iron throne. this is where author of the book does his best work and its portrayed on the screen very well. there is the north vs the casterly rock, iron islands vs kings landings (casterly rock) and the civil war of the north. much more inbetween happens also. the books are much more detailed so a lot of side stories are condensed or left out of the main story completely.the third part of the initial story is on esteros where daneryes and her brother begin a journey with the hope of returning triumphantly to westeros with a strong unstoppable army to reclaim the thrown for her family and for the people. again in the beginning many parts of this story are told very well because there is great source material.the acting was amazing, the stories were great, the potential unlimited. so where and why did it all go wrong for game of thrones? there are many theories as to why the show began to suck. but the consensus is, that the show creators just got bored of the project and wanted to go off to bigger and better things (perhaps a star wars gig) even though the studio hbo offered them more years to make the show and the money needed. i could probably go into individual instances of when the show changed course for the worst but i would be here for a long time. yet one thing that i noitced was that characters weren't acting like themselves. story arcs built over seasons where whiped out over a trivial moment. yeah so the creators dan and dave really lack talent in original story telling. its the people around them who have talent. george r. r martin., set desingers, costume designers etc. d&d where just riding the wave and happily struck iceberg and hopped onto lifeboat.....so overall i'm giving the how a 6. the first three seasons really deserve a 9 but the last two deserve a 2 or 3. so six is more than fair.. i know this show has a far higher rating but it's because so many people rated it while it was at it's peak prior to its downfall. so read reviews that were published after the show finished."
2019-05-20,jonas1969,Complete GoT series review,7,"the biggest tv,series ever created has concluded and even if you haven't seen it i'm sure you have heard a lot of comments about it. most of you who haven't seen it are probably sure it isn't for you, and you may be right, but here is my take on why it's worth watching.it would be easy to believe that this is a fantasy world like lord of the rings, but with more violence and sex, however that is far from the truth. magic is a very small part of got and the world is very much like medieval europe but taken to extremes. a world where the lords stab each other in the back first chance they get and violence and strength usually rules but the clever and ruthless also thrive.we follow several powerful families in their struggle for survival and dominance. the three most central families are the starks, targarians and lannisters. when the story begins the targarians have been ousted from power and the two surviving siblings are barely alive. the lannisters are in ascendance and on the verge of seizing the crown. house stark is the only family that seems to value integrity over power.from start to finish these families are central to the plot and we follow them over many years of struggle. quite a few die and none remains innocent,, but we get to know them all very well and learn to love and hate them.the first 5-6 seasons follow the books by george rr martin fairly closely, but the books aren't completed yet so the final seasons are noticeably not as well put together and with less brilliance in the dialog. seen as a whole this series is a fantastic achievement. for it's grandeur and scope and for it's ability to twist the plot ever which way. there are many large mysteries that are unfortunately never explained (i hope the books will fix that), but even so the main story arc is well worth the investment in time it takes to watch it."
2015-06-03,chiluvr1228,Unbelievably awful,10,"heard a lot about this show with everyone saying how great it was so i decided to watch it to see if it was as good as i was told. i found the first episode a little boring and slow but figured it was setting up the characters, etc.well from there it went downhill. i watched all of season 1 and half of season 2 and i couldn't stomach it any longer. in my opinion, none of the characters are all that likable and the few i did like get killed off very quickly, usually with much gore.then there are the numerous and pretty graphic sex scenes which seem to be thrown into the show for the purpose of titillating (pun intended) the audience who i assume to be in the 18,35 bracket. i'm not a prude, but i never saw any tender love scenes, just gay sex, incest and rape. it's pretty much soft porn with a story.by the last episode i watched i couldn't care less about who regained control of ""the mythical land of westeros"". i hope parents aren't letting their children watch this debauchery.everyone has their own opinion of what is a good show and this, in my own opinion is utter garbage."
2019-05-20,spiff-12,I am deeply divided by Season 8,8,"everyone complains about how dany's arch. personally, i think the personal story to be the best. she stopped examining herself and decided that everything she did was good and right. i don't have a problem with any of the acting or directing. even the writing was spot on (and i know people have problems with it) . i only wish they put at least half as much thought into the ending as they did for the creation of those characters. the issue i have with the show is the horrendous lack of respect for logic. did anyone in this show consult anyone who knew even a thimble worth of strategy!?a frontal assault by ""a"" class irregular cavalry against a massively larger group of, essentially, steady infantry who never suffer morale issues? why not just have them ride off a cliff!?speaking of dothraki...or, maybe call them the ""wile e coyote"" because no matter how many time we see them all die, they always come back.they died to a man in that ""dramatic effect"" charge. a bunch of them showed up at the funeral. 1000s died to almost a man when the iron fleet attacked. then several thousand show up at the gates of kings landing!? i don't get it... when they die, do they multiply!?speaking of obscene perversions of logic. how did a handful of people left alive in winterfell become an army that could besiege king's landing!?what happened to cerci's plan to have winterfell fight to a man against the night king and the sweep up the remains with her army. it would have made perfect sense except for the dracaris,ex that could destroy the world with enough bean burritos. that whole thing wreaked of a hasty (and highly illogical) plot change. it's sloppy. it's practically fan fic in this regard."
2020-01-12,stemelia21,Epic until is wasn't.,1,"first off seasons 1,7 were awesome and if i was rating just them an easy 10/10.just like all of the other reviews season 8 went and spoilt it. it seemed rushed and was unsatisfying. there was so much left unanswered and with a show this size you just simply can't do that. i cant believe this is how author wanted it. you cant help but criticise it. it rendered so many of the characters back storys completely pointless most notably jon snow's! they might as well have left him dead at the end of season 6 and filled the spot with someone else! daenerys would have gone crazy anyway! this page is not big enough for the complaints i have about season 8 and how much they got it wrong. anybody who says the battle at winterfell in season 8 was the most epic battle are foolish!it seems that a lot of directors/ producers/writers just dont know how to finish at the moment. maybe it's the pressure of ending something so big, another great example of this is the new stars wars trilogy. i dont remember feeling so disappointed like this at the end of harry potter! maybe because the story had already been written by an actual talented author / writer.up until the last season , wow! what a series. the battle of the bastards is the most awesome episode in the series and will remain so eternally. the series up to this point also did justice to the books. the casting/acting was good all the way through. i was truly heart broken with this series. it is still awesome and is in the top 50 series to watch before you die, it's just a pity because it should have been in the top 2.i'm rating this 8.5/10, it was going to be higher but i changed it through pure disappointment. that last season was a chaotic mess! it seems chaos isn't always a ladder."
2014-07-31,kop_reaz,"Excellent show, has been carrying higher potential, funny death scenes and unnecessary nudity",8,"after watching the first 4 seasons i've decided to give got 9 stars. but for all the unnecessary and awkward nudity, i'm talking away one star.got is about the iron throne of the 7 kingdoms. and people who are trying to control get comfortable on the iron throne. so they wage wars, people die. ""king""s fall. noble families decays. and all these unfortunate incidents are originated from ""incest"".this show is all about tragedy. it preys on your addiction to sadness. without tragedy, it would have not been a great success. but they could at least make the death scenes more emotional. i mean when i watched the show with my brother, we both laughed during the death scenes. so come on be more serious.the show is shot in 4,5 different european countries. and all of them offers beautiful views. it's one of the great thing about the show. the beautiful soundtracks will make get yourself lost inside the tv. the cast of got is very large and quite powerful. beside they need new casting members each season because a significant number of characters die each season.the show offers a great deal of violence and gore, which is acceptable for a show set in medieval time. but they really don't need to show these much nudity. i don't want to watch porn.got had the stuffs that makes a ""best tv show of all time"". it still has. but unless they stop playing it safe got won't reach it's full potential."
2012-04-02,showgirl626,Beyond magnificent,10,"*** spoiler alert *** game of thrones is lush, beautiful, gritty, harsh, bloody, and incredible. i love every character, bad or good, but peter dinklage as tyrion lannister is superb (and deserves every accolade he received for the role), and sean bean was transcendent as lord eddard stark , rough, weary, stoic and quietly noble. i was heartbroken when ned was killed.all the 'bad' lannisters are deliciously so, and i've enjoyed watching the evolution of daenerys targaryen from a meek little pawn of her brother's into a rising leader. i like iain glen's character as the exile who protects daenerys and keeps her(and the viewer) up to speed on the ins and outs of dothraki society. i liked the boozing, womanizing king robert, though i would have liked to kick him in the knee for being so obnoxious, and i even like that little jerk, little finger.the stark children with significant roles are also excellent, especially arya. now that the killing of potential robert baratheon heirs has begun, and the one we were introduced to last season being on the path to the watch with arya, their relationship will be interesting to watch.game of thrones has one of the strongest ensemble casts of any size i've ever seen in a program. though it took watching the episodes a few times before i could start keeping all the intrigues straight, it was well worth it.though i'm still smarting over ned stark's execution (but i'm biased because i'm a fan of sb's work going back several years), it was enough of a surprise to be refreshing in this age of done-to-death plot twists, and as the story evolves it seems clear that there's no more room in the game for a ned stark.thank you, hbo, for delivering yet another truly outstanding original series into our homes on sunday nights. i bought season 1 on dvd, and i've bought the first book in the ""song of fire & ice"" series. rarely does a television show have such an effect on me.9/10 stars. a bit heavy on the gratuitous sex, and all the f-bombs seem out of place in that world, but if i can be hooked in spite of those things, and willing to keep watching even after my favorite character is knocked off, by god it must be a damn good show."
2019-06-14,abzahidab,The best I've ever watched...,10,"there is no doubt that it is the best season i've ever watched. season 1 to 7 were outstanding but the two best seasons are 4 and 7.. now let's talk about season 8, it was all going perfect till long night but then the has spoiled the whole effort...."
2019-12-18,youngman44,It's Simple ... Greatness Fallen,10,"the show was brilliant for the first several seasons with multiple exceptional characters, the breadth of prime characters is unmatched in tv history.yet the show began to stumble after it moved beyond the books. it didn't fall immediately, it was one of those stumbles where you trip yet keep taking big steps in hopes of recovery.within that stumble was the attrition of episodes , down to 6 in the final season. each season should have had at minimum 10 episodes. the show runners were clearly punting.but, then, season 8. the greatest fail final season in tv history. d&d should be given a writing/tv ban for 8 years for that. it was appallingly rushed, miscalculated, and incoherent with the build up over the first 5-6 seasons.i am not in the camp of those who think the show can't be re-watched. i simply use my imagination to create a different final season and a different ending. it's as simple as that."
2011-07-18,mike_brunton,A grand sweeping Epic - truly breath-taking,7,"george r r martin, has done quite a job with his series of books, based around the 7 kingdoms and the fight for the iron throne. all i can say is thank goodness hbo got the rights to film this and not a bunch of pansies who would have made this into a watered down shadow of it's rightful self. this is war, this is death, this is sex and violence and family feuds and long held memories. it is fantasy and drama and comedy and wine and song. i will admit the acting isn't always perfect, and the budget forbids grandiose battle scenes or a cast of thousands! but still martin's vision shines through, the story is compelling to any fan of lotr , you know who you are, it also appeals to any medievalists or people who dreamed of lands beyond this earth. i am waiting the next season, and i truly hope this series gains in popularity and word of mouth until the whole saga has been translated onto screen. down with the lannisters!"
2021-01-17,napchier,DROPS THE BALL,3,"amazing, right up until they started getting lazy , with the writing in particular.10/10 for a long while, then we recieved a truncated 7th season, with irritating plot holes where we would have otherwise had full episodes, and then season 8 (similar problems) occured and made the whole investment seem like a complete waste of time.a further reduction of episodes for season 8, and a horribly rushed plot. i don't mind some of the outcomes, some, apart from jamie's arc - the worst outcome in my opinion - but the last bit of the journey to the story's conclusion was really awful overall, no matter what happened in the end.the directors did a great job, unbelievable really, when you consider what they were given to work with for the final season, so it can have some credit there - and the visuals were great - but that's all that was great, story wise it suddenly had no depth at all.i was invested in this for years! i still can't believe the astonishing let down that came to be delivered.seasons 1-6 i spent much of my time looking forward to the moment i could finally blast through it all, over the spell of a couple of weeks, and it saddens me to say that i will now never see it again. i feel sad for that dreaming, younger person, lets say about 3/4 years ago, that had no idea his hopes were about to be dashed.then again - maybe i could just watch until the end of season 6... at which point we reach the end of a significant arc anyway - so maybe that will have to do (though it leaves some significant things unresolved - actually no - i'll just forget all about it - and consider it ruined forever).i'd like to read the books, but i suppose that particular writer will pop his clogs before completing it all. have decided not to read it until it's all completed, which might mean i'll never get to.anyway - if you come here for a series binge - go in with reduced expectations - it will trick you into believing it will all turn out great, while it's good in the begining, but when it starts getting bad - season 7 onwards - know that that is the point where the series actually begins to die! that's the key moment to lower your expectations!"
2020-08-05,lavaside-60237,1st 3 seasons are good.,10,"it's all downhill from there. the writer kills off most of the best characters for shock value. the couple left by season 4 have to survive in order for the show to be interesting. so it turns the rest of the series into stereotypical storytelling. perhaps the writer brings in interesting new characters in the novels that hbo left out, so to keep the 'death of least expecting' rolling. and therefore the show limped along unnecessarily. one thing is for sure, once there was no longer any source material, the void that is the 'creative talent' in hollywood becomes obvious. and even though the 1st 3 seasons are amazing television, the rest makes any investment in them worthless. this show overall is a 6. people are kidding themselves grading it higher. nothing in those 1st 3 great seasons has any bearing on the rest. lol. the series, when grading the whole thing, is an absolute dumpster fire of storytelling."
2020-12-15,socalicimarius,The worst TV series ever made and the fans are getting toxic if you don't like it!,10,"i watched the first 5 episodes and i didn't liked them, should i watch the rest? nah i wish i skipped got, i don't want to watch it never again, trash series, i never was interested in this crap show anyway but i gave it a chance and wow is so trash, got is not for me ok got fans? got is not for everybody, grow up got toxic fans!"
2016-03-05,felixmartinsson,Can't get enough,10,"first of all , if you're hesitant to whether or not you should see it, i'm telling you to watch it, but you gotta give it at least 3-4 episodes before you're in. there is a lot of different character ans stories going on so you have to give it a chance. i my self got stuck after the first episode, probably because i'm an actor myself and can tell when a story is good. (does that even make sense?)anyway, this is one of my favorite shows ever. i've always liked this time period, and i got stuck after watching the first episode, and i've been ever since. it's rare to find shows that are as well made as films since they're under a lot of time and money pressure. this is for anyone who wants a lot of great visual effect, action, and cat-and-mouse game and brilliant storytelling. words to describe this show: bloddy violence, intrigue, epic, evil, sward fight,i give it 10 out of 10"
2019-04-11,maedhros35,An afternoon in Raqqa - but with dragons in it.,10,"i really can't tell what people like about this series. it's labeled as ""fantasy"" but mostly it could be labeled as ""war "" or ""horror"". the series as a whole is utterly depressing , everyone dies or gets raped or mutilated and it drags on and on from one morose black point to the next.if you like ""lord of the rings"" or ""shannara chronicles"", then please do not bother with this one. if you like "" the human centipede"" or ""a serbian movie"", then this gorefest will probably be of your taste."
2019-05-20,sandowl_,Poor Ending,9,"great series.the best of it is before seasons 7 & 8.terrible ending. found it really disappointing. difficult to explain without ruining it for others, so won't be explaining it."
2020-05-25,pierre-andre-17,Can we play some good serial without containing a lot of obscene episodes,10,"to be honest, it is a great serial and most americans love to watch it. but most people in other countries are shocked by the sexual episodes in this serial. i won't suggest any parent to let their teenage boys to watch this. if the kids want, they should want till they are adults.
classic is not the shield for lust.
and i don't think someone who appreciates the bawdy episodes in this serial do deem them a kind of artistry instead of another kind of po....
why don't you cut most of these parts? you can only use these parts as stunt to attract the audience? you can browse unbecome pictures online. why don't you still deem this a kind of artistry? can artistry be more innocent? if you think all of the behaviors in the serial is of nature, why don't you choose an ugly and unattractive woman as actress instead of emily?
this really reflects the general hollowness of our entertainment these days,those directors have to let the actresses do those irrespective things in exchange of audience. a pity!
people during these days have higher secretion of hormone and can't control their lust well. it is this kind of generally perverse entertainments distort their mind.
our serial will be the next big brother in this way. haven't you been aware of the fact that you lose concentration when you think but have more time to recall those lustful pictures?"
2020-08-20,liamgt-82128,"Great, it's just a shame about the ending",9,"gotta be my all time favourite tv series but the last two seasons stopped this being a certain 10. still amazing though, would always recommend."
2020-11-20,marwillreview,How to ruin a show.,10,"when i first started watching game of thrones i fell in love with the world of westeros, the intricate story telling, the amazing characters and the dragons. seasons 1 , 6 were, what i like to call, perfection. the story telling and character development was all there. the world the writers built was amazing and understandable as they were basing themselves on the amazing work of grrm. then the incompetent ""writers"" david benioff and dan weiss ran out of source material and it all went down hill. season 7 started by having our one and true dragon queen return to her home. westeros. the problem with that was the tyrion lannister became an inept as hand of the queen. one of the most spectacular characters in tv history became the stupidest strategist in all westeros. as the season went on we had more and more stupid dialog. we had the stark sisters pinned against each other. i'm sorry, did the writers not now that the one thing starks love more than anything is their family and pinning the sisters against each other was just so stupid and the storytelling was not there. then, we have to talk about that horrific episode 6. beyond the wall. well beyond the wall is were you will find plot armor for most of the characters and an ice zombie that played all of these dummies just to get himself a bran new dead dragon. the fact that these writers thought that bringing a ww to kings landing to prove to cersei that the dead were coming just shows us all how bad dan and david were not able to interpret grrm work and bring it to the tv screen. now we move on to the last season. deep down in my soul i wanted to believe that the writers were going to give us something. build on all the theories and story lines grrm created, but we just got more crappy make no sense writing. lets start by the long night that lasted not that long. cmon! the night king was killed by miss arya stark. how? why? we had all this build up of jon and the night king finally battling each other. and also what was up with all the plot armor? jon should've died. sam should've died. arya should've died. so many more main characters were put in such life threatening situations that they should have died. then we move on to the last 3 episodes. so, ms. cersei now avidly people watches from her window. this amazing character was ruined. she did nothing and ended up dead at the bottom of the red keep, crushed by bricks. clegane bowl, in my opinion, was stupid and way over rated. arya surviving the attack on kings landing was, yet again, more plot armor. finally, daenerys targaryen. such a powerful female character tarnished by two so called writers. at the end of the day got will forever be one of my favorite shows, but i will never forget how it was ruined by two incompetent writers that by subverting expectations ended up ruining the greatest show in tv history."
2020-12-13,loleewardie,Outstanding from season 1-6,10,"season 7 was meant as a buildup to season 8, the final season, which is fine. the problem is the ending was poorly written and rushed. bad decisions from almost every character of the show, and really out of character decisions for some. the greatest show of our time ruined by hiring incompetent writers... sad. once the books ran out, the show quality declined really fast. they should of taken the original writer to write a script and not random idiots."
2016-11-17,info-12388,Let's see who we can kill off this week...,7,"lots of points for production design: the costumes are uniformly magnificent, from the lowest peasant to the highest king. the sets get a tad monotonous after a while: big, colonnaded halls of dark beige and grey and lots of oversized statuary, but even those can be breathtaking in their own way. the cg work just gets better and better with each season: tighter, cleaner, more layered and intricate. many of the performances are quite good, even after six years, and the photography is outstanding.that's the good stuff.the bad? ok, i""m halfway through season 6, binge,watching the dvds, and the sins of the series are becoming so obvious that the writers are in real need of a walk of atonement. having not read the books, i don't know how closely they're adhering to them at this point — or if indeed they even are anymore, since i understand much of this season was planned in expectation of the next book which martin has yet to finish. but increasingly, each episode is a combination of (1) some characters wandering around the countryside in the snow, (2) some characters getting killed off for no particular reason, and (3) one really big cg-laden scene somewhere towards the end to keep you coming back to see what happens next.my biggest complaint with got s1 was that it felt like the old tv show ""dynasty"" with a lot of fur costumes: lots of rich, powerful people going after each other in a somewhat pointless way. s2-4 gave it a bit of a rise above that, but s5 and (thus far) s6 have almost completely reverted to type: fantasy soap opera with furs. at this point, i'm not sure why the show has lasted this long: the story lines seem to be running on auto-pilot. there hasn't been much with the same visceral impact as the red wedding. by now i would have hoped to see at least something of where the series hopes to wind up, but instead it's just wandering in the snow.i understand that it's been contracted for two more seasons. i'm starting to wonder if any of the major characters will even be left by then, that perhaps they're bringing it to a close because no one will be left alive to sit on the stupid iron throne. that would be almost as disappointing as the ending of lost, but at this point, certainly not outside the realm of possibility."
2019-06-07,alfredtimothy,Producers sold out,10,"producers had the opportunity to create history but greed got in the their way in the thirst for more assignments they screwed this show and the ending in any movie or series has a major impact how we feel about the series as a whole they basically rushed the 8th season messing up what could be the greatest series ever
that's bad and arrogant on their part"
2019-05-24,type-a1pha,Shame of Thrones,10,"the ending of this series is a disservice to the public!the first seasons are great as they are based on the books source material and, apparently, the writers are good enough at adapting other people ideas. after season four there's a decline, not so manifest at first since the goodness of the source material still lingers around. it's more of a slow deterioration, a spiral into shallow writing that peaks in a last season devoid of content and value. where at first grand scale developments, societal issues and world,spanning intrigues dominated the narration with characters being the pawns of the true overarching story, later in the seasons characters and stereotypical interactions take the stage and the interesting, long developing issues that made the story captivating get resolved in the most unrewarding ways possible. it's incoherent, detached, uninspired writing. it's everything that is bad in mainstream media.all of this because the writers decided they had enough with the show and grew bored with it. so they wanted to wrap it up as soon as possible in order to go on and ruin the star wars franchise (more than it already is). thanks for your disservice!it needs to be mentioned that the overall production, sound design, acting, cinematography, all of these are quite extraordinary and elevate the show quite a bit, even when the writing declines. the quality is amazing. it probably is still worth watching for its entertainment value. it just doesn't pay off. the ending season ruins quite literally everything."
2019-12-23,mariamelkott,The best series of all time,8,"before hating on me first read. everyone is blaming david and dan . but the truth is this is george's ending. he told them the ending years ago. he said it himself in a fan convention that you can find on youtube. we all agree on it being a little rushed . it was only 6 episodes to have 3 villains (one turned to a villain) is a little too much unless the episode is 2 hours long. making it a total of 12 regular episodes . now lets discuss the characters acrs
jon : he never wanted to be a king . he wanted to be free. he loved ygritte because he felt free with her . going beyond the wall with the free folk is his freedom. he is relieved from the burden of being in charge and he was done fighting. this is a happy ending for him.arya : we all know she was rebellious . she used her faceless men training to kill the night king. and she avenged her family by killing the freys.sansa : god i hated her at the beginning then she became one of the smartest people on got . she saw how the north bled from southern rulers. all what she did was to protect her family and her people.dany : there were many hints of her fate since season 2 . her madness was always there. mental illness can be passed through genes too. losing her best friend , her loyal friend , 2 of her dragons , the love of her life and her claim to the throne in a very short time can drive anyone nuts. she was abused her whole life . and an unstable person with endless power can become ruthless. she got what she deserved and broke the wheel just like she wanted.bran : he is far from useless , because of him jon knew who he was . which influenced sansa manipulating tyrion and varys trying to kill dany. and driving dany mad. because of him they knew the night king breeched the wall and gave them time to prepare. he can now see the future. you can see he didn't flinch when nk was going for his sword because he knew arya was going to kill him. and to the question about why he didn't say something to stop dany ? if you watched many time travel movies you'd know that messing with the timeline could lead to worse events.him being a king makes sense too. he can get married . he doesn't need gold or glory . he was stripped from his emotions when he became the 3 eyed raven . he can't be manipulated by greed or power.
cersei : her death was poetic justice . the keep was the source of her power . that power dropped all over her head and killed her.we can all agree or disagree. some wanted to see dany or jon or both ruling together. but all we can agree on is got has a very large fan base and they can't please everyone. but don't disrespect their work because you didn't get the end you wanted."
2021-05-28,dillon-77085,Why haven't you seen this??,1,"i got into got quite a while after it had flattened all in its wake. in all honesty i have to agree with the fact that by season 6 and into 7 and definitely with 8 that there was a noticeable drop.in quality.however after season 5 you could guarantee that everyone was going to watch it until the bitter end come hell or high water. havent read the books so cant compare. the characters are engaging, entertaining, infuriating, irritating, syntilating and confusing all in equal measures. the writing although irractic in quality is nonetheless nerve shredding and captivating and weaves inbetween the lives of several characters at the same time. the number of unexpected.twists deaths of well known characters.im afraid makes complete cobblers out of all those who insist oh yeah i saw that coming a mile off. the.part i deviate from most views is the ending yes i would have liked various people to.have got poetic justice. but the end was in keeping with the rest of the show.unexpected and surprising. so i'm afraid i have no problem with it. would i have done it the same way hell.mo but can i live with this version hell yeah. performances are brilliant but some characters of course you will like more than others. if you like lord of the rings or your into fantasy adventure this is gonna grab you by the throat and swing you around the room it's a roller coaster ride and you may get sick on that ride but all the pieces fit. one of the most addictive things you will ever see."
2019-05-20,ratpackaustin,"Was a 10/10, now all rewatchability is ruined",1,"let me start by saying i love game of thrones, absolutely love the characters and world that it presents. the acting is incredible, the cinematography is unbelievable, and the writing (up until season 8) was fantastic. however, this show is basically broken up into two different shows: game of thrones seasons 1,6, and game of thrones seasons 7-8.seasons 1-6 were breathtaking and addictive. i never watched the episodes live, i would wait a few weeks and binge watch them on hbogo. this was the best way to watch in my opinion because the show was son addictive that i would spend 5+ straight hours just laying in bed watching it. this show could do no wrong in these seasons, it was 100% the greatest show of all time.but then comes seasons 7 and 8. don't get me wrong season 7 was still good, but it was easy to see that the writing was getting sloppier and it was slipping. the show spent less time on dialogue and story, and more on action and fast pace. season 7 also set up the disaster that was season 8. what the hell happened in season 8? i won't spoil anything but let's just say that characters don't act like themselves, they make stupid decisions and act like they did in season 1. none of them grew to end in a spot that they deserved to be in. there's also too much time spent on nothing, literally in this season you will watch characters getting dressed, staring into space, sitting there with a blank face, or weird montages of characters walking. seriously this show is about deceit, dialogue, and the ""game"" that is game of thrones. but nope they abandon it all in this last season just to rush the ending and try to shock you.overall this show is fantastic if you ignore seasons 7 and 8. even with them it's still a good show, but i can never rewatch it knowing that it leads to the conclusions it did"
